Employee First Name,Employee Last Name,Job Title,Employee Work Email,Company Name,Company Website,Company HQ Phone,Street,City,State Full,State,Zip Code,Country,Industries,Employees,Revenue,Job Level,Job Function
Brian,Soder,Vice President of Accounting,dianne.bascom@uni.edu,Afs-Ibex Financial Service,afsibex.com,1.949.756.2600,4100 Newport Place Dr,Newport Beach,New York,CA,92660-2423,United States,"Business Services, Legal Services Financial Services, Credit Cards and Related Services Healthcare, Pharmaceuticals, & Biotech, Healthcare, Pharmaceuticals, and Biotech Other",2430 - 25,2430 - 1000000,VP of Accounting,
Christine,Wood,Vice President of Accounting,dianne.bascom@uni.edu,"Automatic Data Processing, Incorporated",www.adp.com,1.973.974.5000,1 Adp Blvd,Roseland,New York,NJ,07068-1728,United States,"Business Services, HR and Recruiting Services Business Services, Payroll Services Computers & Electronics, IT and Network Services and Support",2431 - 25,2431 - 1000000,VP of Accounting,
Lucky,Navarro,Vice President of Accounting,dianne.bascom@uni.edu,OSC,www.oscis.com,1.770.281.2678,"245 Townpark Dr NW Kennesaw, GA30144-5544",Kennesaw,New York,GA,30144-5544,United States,"Financial Services, Lending and Mortgage",2432 - 25,2432 - 1000000,VP of Accounting,
Mark,Hungate,Vice President of Accounting,dianne.bascom@uni.edu,Goodman Dean,www.goodmandean.com,1.714.229.8999,"4281 Katella Ave Los Alamitos, CA90720-6507",Los Alamitos,New York,CA,90720-6507,United States,"Real Estate & Construction, Real Estate Agents and Appraisers",2433 - 25,2433 - 1000000,VP of Accounting,
Michael,Stogsdill,Vice President of Accounting,dianne.bascom@uni.edu,Keais Records Retrieval,www.keais.com,1.800.467.9181,"1010 Lamar St Houston, TX77002-6311",Houston,New York,TX,77002-6311,United States,"Business Services, Data and Records Management",2434 - 25,2434 - 1000000,VP of Accounting,
Gregory,Ritter,Vice President of Accounting,dianne.bascom@uni.edu,Express-1 Inc.,www.express-1.com,1.269.695.2700,429 Post Rd,Buchanan,New York,MI,49107-1051,United States,"Transportation & Storage, Freight Hauling (Rail and Truck)",2435 - 25,2435 - 1000000,VP of Accounting,
Michael,Andrews,Vice President of Accounting,dianne.bascom@uni.edu,Majesco Software Inc,www.majescomastek.com,1.646.731.1000,5 Penn Plz,New York,New York,NY,10001-1803,United States,"Software & Internet, Software",2436 - 25,2436 - 1000000,VP of Accounting,
Patrick,Kaczor,Vice President of Accounting,dianne.bascom@uni.edu,The PNC Financial Services Group,www.pnc.com,1.412.762.2000,300 5th Ave Fl 29,Pittsburgh,New York,PA,15222-2401,United States,"Financial Services, Banks",2437 - 25,2437 - 1000000,VP of Accounting,
Gary,Hall,Vice President of Accounting,dianne.bascom@uni.edu,Master-Bilt Products,www.master-bilt.com,1.662.534.9061,908 State Highway 15 N,New Albany,New York,MS,38652-9507,United States,"Manufacturing, Metals Manufacturing",2438 - 25,2438 - 1000000,VP of Accounting,
Kimberly,Taylor,Vice President of Accounting,dianne.bascom@uni.edu,University of Rochester,www.rochester.edu,1.585.275.2121,500 Joseph C Wilson Blvd,Rochester,New York,NY,14627-0001,United States,"Education, Colleges and Universities",2439 - 25,2439 - 1000000,VP of Accounting,
Debra,Rossi,Vice President of Accounting,dianne.bascom@uni.edu,University of Rochester,www.rochester.edu,1.585.275.2121,500 Joseph C Wilson Blvd,Rochester,New York,NY,14627-0001,United States,"Education, Colleges and Universities",2440 - 25,2440 - 1000000,VP of Accounting,
Justin,Maccutcheon,Vice President of Accounting,dianne.bascom@uni.edu,Massachusetts Institute of Technology,www.mit.edu,1.617.253.1000,77 Massachusetts Ave,Cambridge,New York,MA,02139-4301,United States,"Education, Colleges and Universities",2441 - 25,2441 - 1000000,VP of Accounting,
Michelle,Johnson,Vice President of Accounting,dianne.bascom@uni.edu,"T-Mobile USA, Inc.",www.t-mobile.com,1.425.378.4000,12920 SE 38th St,Bellevue,New York,WA,98006-1350,United States,"Telecommunications, Wireless and Mobile",2442 - 25,2442 - 1000000,VP of Accounting,
Sunny,Aneja,Vice President of Accounting,dianne.bascom@uni.edu,Orange,www.orange.com,1.415.243.1507,801 Gateway Blvd,South San Francisco,New York,CA,94080-7401,United States,"Telecommunications, Telephone Service Providers and Carriers",2443 - 25,2443 - 1000000,VP of Accounting,
Bradley,Vanbuskirk,Vice President of Accounting,dianne.bascom@uni.edu,"Telect, Inc.",www.telect.com,1.509.926.6000,"22425 E Appleway Ave Liberty Lake, WA99019-8508",Liberty Lake,New York,WA,99019-8508,United States,"Telecommunications, Telecommunications Equipment and Accessories Computers & Electronics, Computers & Electronics Other",2444 - 25,2444 - 1000000,VP of Accounting,
Lauren,Goldstein,Vice President of Accounting,dianne.bascom@uni.edu,The Channel Company,www.thechannelco.com,1.949.223.3644,"4590 Macarthur Blvd Newport Beach, CA92660-2030",Newport Beach,New York,CA,92660-2030,United States,"Media & Entertainment, Media & Entertainment Other",2445 - 25,2445 - 1000000,VP of Accounting,
Lauren,Goldstein,Vice President of Accounting,dianne.bascom@uni.edu,The Channel Company,www.thechannelcompany.com,1.508.416.1175,550 Cochituate Rd,Framingham,New York,MA,01701-4654,United States,"Media & Entertainment, Newspapers, Books and Periodicals",2446 - 25,2446 - 1000000,VP of Accounting,
Don,Desjardins,Vice President of Accounting,dianne.bascom@uni.edu,Allscripts Healthcare Solutions Inc,www.allscripts.com,1.312.506.1200,"222 Merchandise Mart Plz Chicago, IL60654-1010",Chicago,New York,IL,60654-1010,United States,"Software & Internet, Software Software & Internet, Data Analytics, Management and Storage",2447 - 25,2447 - 1000000,VP of Accounting,
Mary,Inguanti,Vice President of Accounting,dianne.bascom@uni.edu,"Becton, Dickinson and Company",www.bd.com,1.201.847.6800,1 Becton Dr,Franklin Lakes,New York,NJ,07417-1815,United States,"Healthcare, Pharmaceuticals, & Biotech, Medical Supplies and Equipment",2448 - 25,2448 - 1000000,VP of Accounting,
Nancy,Brehmer,Vice President of Accounting,dianne.bascom@uni.edu,Insite  Software  Solutions Inc,www.insitesoft.com,1.612.367.8600,"110 N 5th St Minneapolis, MN55403-1630",Minneapolis,New York,MN,55403-1630,United States,"Retail, Retail Other Computers & Electronics, Peripherals Manufacturing",2449 - 25,2449 - 1000000,VP of Accounting,
Alex,Capehart,Vice President of Accounting,dianne.bascom@uni.edu,"Media Temple, Inc",www.mediatemple.net,1.310.841.5500,"8520 National Blvd Culver City, CA90232-2418",Culver City,New York,CA,90232-2418,United States,"Computers & Electronics, IT and Network Services and Support",2450 - 25,2450 - 1000000,VP of Accounting,
Dominic,Lavoie,Vice President of Accounting,dianne.bascom@uni.edu,United Guaranty Corporation,www.ugcorp.com,1.336.373.0232,"230 N Elm St Greensboro, NC27401-2413",Greensboro,New York,NC,27401-2413,United States,"Financial Services, Insurance and Risk Management Financial Services, Lending and Mortgage",2451 - 25,2451 - 1000000,VP of Accounting,
Shannon,Vansickler,Vice President of Accounting,dianne.bascom@uni.edu,United Guaranty Corporation,www.ugcorp.com,1.336.373.0232,"230 N Elm St Greensboro, NC27401-2413",Greensboro,New York,NC,27401-2413,United States,"Financial Services, Insurance and Risk Management Financial Services, Lending and Mortgage",2452 - 25,2452 - 1000000,VP of Accounting,
Jan,Jeffrey,Vice President of Accounting,dianne.bascom@uni.edu,First Citizens Bank,www.firstcitizens.com,1.919.716.7000,4300 Six Forks Rd,Raleigh,New York,NC,27609-5718,United States,"Financial Services, Banks Financial Services, Financial Services Other",2453 - 25,2453 - 1000000,VP of Accounting,
Linda,McLeod,Vice President of Accounting,dianne.bascom@uni.edu,First Citizens Bank,www.firstcitizens.com,1.919.716.7000,4300 Six Forks Rd,Raleigh,New York,NC,27609-5718,United States,"Financial Services, Banks Financial Services, Financial Services Other",2454 - 25,2454 - 1000000,VP of Accounting,
Martha,Musser,Vice President of Accounting,dianne.bascom@uni.edu,First Citizens Bank,www.firstcitizens.com,1.919.716.7000,4300 Six Forks Rd,Raleigh,New York,NC,27609-5718,United States,"Financial Services, Banks Financial Services, Financial Services Other",2455 - 25,2455 - 1000000,VP of Accounting,
Jennifer,Thielges,Vice President of Accounting,dianne.bascom@uni.edu,Bank Forward,www.bankforward.com,1.701.232.3505,1202 28th St S,Fargo,New York,ND,58103-8700,United States,"Financial Services, Banks",2456 - 25,2456 - 1000000,VP of Accounting,
Stephanie,Szoblosky,Vice President of Accounting,dianne.bascom@uni.edu,Hart Lumber,www.hartlumber.com,1.210.337.6464,9810 Ball St,San Antonio,New York,TX,78217-3707,United States,"Business Services, Business Services Other",2457 - 25,2457 - 1000000,VP of Accounting,
Daniel,Hellmann,Vice President of Accounting,dianne.bascom@uni.edu,Burry Foodservice,www.burryfoodservice.com,1.301.294.9942,53 Southgate Crse,Saint Charles,New York,IL,60174-5725,United States,"Business Services, Business Services Other",2458 - 25,2458 - 1000000,VP of Accounting,
John,Hughes,Vice President of Accounting,dianne.bascom@uni.edu,"Aag Management, Inc",www.aagmgmt.com,1.212.564.7250,"421 7th Ave New York, NY10001-2002",New York,New York,NY,10001-2002,United States,"Real Estate & Construction, Real Estate Investment and Development",2459 - 25,2459 - 1000000,VP of Accounting,
Kevin,Kukar,Vice President of Accounting,dianne.bascom@uni.edu,M Financial Group,www.mfin.com,1.503.232.6960,"1125 Nw Couch St Portland, OR97209-4129",Portland,New York,OR,97209-4129,United States,"Business Services, Advertising, Marketing and PR Business Services, Business Services Other",2460 - 25,2460 - 1000000,VP of Accounting,
Langdon,Herndon,Vice President of Accounting,dianne.bascom@uni.edu,Honor Health,www.honorhealth.com,1.623.580.5800,8125 N Hayden Rd,Scottsdale,New York,AZ,85258-2463,United States,"Healthcare, Pharmaceuticals, & Biotech, Doctors and Health Care Practitioners",2461 - 25,2461 - 1000000,VP of Accounting,
Christa,Basso,Vice President of Accounting,dianne.bascom@uni.edu,The Bank of New York Mellon Corporation,www.bnymellon.com,1.212.495.1784,1 Wall St,New York,New York,NY,10005,United States,"Financial Services, Banks Financial Services, Trust, Fiduciary, and Custody Activities Financial Services, Securities Agents and Brokers",2462 - 25,2462 - 1000000,VP of Accounting,
Ryan,Oswald,Vice President of Accounting,dianne.bascom@uni.edu,U.S. Bancorp,www.usbank.com,1.651.466.3000,"800 Nicollet Mall Minneapolis, MN55402-7014",Minneapolis,New York,MN,55402-7014,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Credit Cards and Related Services",2463 - 25,2463 - 1000000,VP of Accounting,
Thomas,Marschel,Vice President of Accounting,dianne.bascom@uni.edu,U.S. Bancorp,www.usbank.com,1.651.466.3000,"800 Nicollet Mall Minneapolis, MN55402-7014",Minneapolis,New York,MN,55402-7014,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Credit Cards and Related Services",2464 - 25,2464 - 1000000,VP of Accounting,
Jeff,Beck,Vice President of Accounting,dianne.bascom@uni.edu,Baxter International Inc.,www.baxter.com,1.224.948.2000,1 Baxter Pkwy,Deerfield,New York,IL,60015-4625,United States,"Healthcare, Pharmaceuticals, & Biotech, Medical Devices Healthcare, Pharmaceuticals, & Biotech, Medical Supplies and Equipment Healthcare, Pharmaceuticals, & Biotech, Diagnostic Laboratories",2465 - 25,2465 - 1000000,VP of Accounting,
Thomas,Woods,Vice President of Accounting,dianne.bascom@uni.edu,Darnel Inc,www.darnelgroup.com,1.305.477.0024 x 105,1809 Airport Rd,Monroe,New York,NC,28110-7395,United States,"Manufacturing, Paper and Paper Products",2466 - 25,2466 - 1000000,VP of Accounting,
Stephanie,Slonski,Vice President of Accounting,dianne.bascom@uni.edu,Merkle Inc.,www.merkleinc.com,1.443.542.4000,7001 Columbia Gateway Dr,Columbia,New York,MD,21046-2289,United States,"Business Services, Advertising, Marketing and PR",2467 - 25,2467 - 1000000,VP of Accounting,
Nicky,Peele,Vice President of Accounting,dianne.bascom@uni.edu,Alpha Marketing,www.alphamarketing.com,1.919.836.2169,"510 Glenwood Ave Raleigh, NC27603-1262",Raleigh,New York,NC,27603-1262,United States,"Business Services, Advertising, Marketing and PR",2468 - 25,2468 - 1000000,VP of Accounting,
Amanda,Campbell,Vice President of Accounting,dianne.bascom@uni.edu,Regions Financial Corporation,www.regions.com,1.205.581.7890,1900 5th Ave N,Birmingham,New York,AL,35203-2609,United States,"Financial Services, Banks",2469 - 25,2469 - 1000000,VP of Accounting,
Amanda,Campbell,Vice President of Accounting,dianne.bascom@uni.edu,Regions Insurance,www.regionsinsurance.com,1.318.443.4552,Po Box 13254,Alexandria,New York,LA,71315-3254,United States,"Financial Services, Insurance and Risk Management",2470 - 25,2470 - 1000000,VP of Accounting,
Andrew,Wyatt,Vice President of Accounting,dianne.bascom@uni.edu,CIT Group Inc.,www.cit.com,1.212.461.5200,11 W 42nd St,New York,New York,NY,10036-8002,United States,"Financial Services, Lending and Mortgage Financial Services, Trust, Fiduciary, and Custody Activities Financial Services, Financial Services Other",2471 - 25,2471 - 1000000,VP of Accounting,
Margie,Burke,Vice President of Accounting,dianne.bascom@uni.edu,Wells Fargo & Company,www.wellsfargo.com,1.866.249.3302,420 Montgomery St,San Francisco,New York,CA,94104-1207,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Financial Services Other",2472 - 25,2472 - 1000000,VP of Accounting,
Debbie,Meador,Vice President of Accounting,dianne.bascom@uni.edu,Jack Nadel International,www.nadel.com,1.310.815.2600,8701 Bellanca Ave,Los Angeles,New York,CA,90045-4411,United States,"Business Services, Advertising, Marketing and PR Business Services, Business Services Other",2473 - 25,2473 - 1000000,VP of Accounting,
Eric,Lohr,Vice President of Accounting,dianne.bascom@uni.edu,"Lockton Companies, LLC",www.lockton.com,1.816.960.9000,"444 W 47th St Kansas City, MO64112-1906",Kansas City,New York,MO,64112-1906,United States,"Financial Services, Insurance and Risk Management",2474 - 25,2474 - 1000000,VP of Accounting,
Geetanjali,Khatri,Vice President of Accounting,dianne.bascom@uni.edu,"Capgemini, Inc.",www.capgemini.com,1.212.314.8000,623 5th Ave Fl 3,New York,New York,NY,10022-6831,United States,"Computers & Electronics, IT and Network Services and Support Software & Internet, Software & Internet Other",2475 - 25,2475 - 1000000,VP of Accounting,
George,Furman,Vice President of Accounting,dianne.bascom@uni.edu,3D Exhibits,www.3dexhibits.com,1.630.644.5000,800 Albion Ave,Schaumburg,New York,IL,60193-4523,United States,"Business Services, Advertising, Marketing and PR",2476 - 25,2476 - 1000000,VP of Accounting,
Haendel,Conil,Vice President of Accounting,dianne.bascom@uni.edu,"Frenkel & Co., Inc.",www.frenkel.com,1.212.488.0200,"350 Hudson St New York, NY10014-4500",New York,New York,NY,10014-4500,United States,"Business Services, Business Services Other",2477 - 25,2477 - 1000000,VP of Accounting,
Jerry,Janny,Vice President of Accounting,dianne.bascom@uni.edu,Atos,www.atos.net,1.914.881.3000,"2500 Westchester Ave Purchase, NY10577",Purchase,New York,NY,10577,United States,"Computers & Electronics, IT and Network Services and Support",2478 - 25,2478 - 1000000,VP of Accounting,
Jake,Jacobson,Vice President of Accounting,dianne.bascom@uni.edu,Plexus Groupe,www.plexusgroupe.com,1.847.307.6100,21805 W Field Pkwy,Deer Park,New York,IL,60010-3228,United States,"Financial Services, Insurance and Risk Management",2479 - 25,2479 - 1000000,VP of Accounting,
Joe,Friedling,Vice President of Accounting,dianne.bascom@uni.edu,"Commerce Bancshares, Inc..",www.commercebank.com,1.816.234.2000,"922 Walnut St Kansas City, MO64106-1820",Kansas City,New York,MO,64106-1820,United States,"Financial Services, Banks Financial Services, Credit Cards and Related Services Financial Services, Lending and Mortgage",2480 - 25,2480 - 1000000,VP of Accounting,
Lisa,Lee,Vice President of Accounting,dianne.bascom@uni.edu,Lawyers Title Insurance Company,www.ltic.com,1.888.866.3684,601 Riverside Ave,Jacksonville,New York,FL,32204-2901,United States,"Real Estate & Construction, Real Estate Agents and Appraisers Business Services, Business Services Other",2481 - 25,2481 - 1000000,VP of Accounting,
Debra,Osborn,Vice President of Accounting,dianne.bascom@uni.edu,Wells Fargo & Company,www.wellsfargo.com,1.866.249.3302,420 Montgomery St,San Francisco,New York,CA,94104-1207,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Financial Services Other",2482 - 25,2482 - 1000000,VP of Accounting,
Roslyn,Dryden,Vice President of Accounting,dianne.bascom@uni.edu,"Lockton Companies, LLC",www.lockton.com,1.816.960.9000,"444 W 47th St Kansas City, MO64112-1906",Kansas City,New York,MO,64112-1906,United States,"Financial Services, Insurance and Risk Management",2483 - 25,2483 - 1000000,VP of Accounting,
Scott,McDaniel,Vice President of Accounting,dianne.bascom@uni.edu,"Commerce Bancshares, Inc..",www.commercebank.com,1.816.234.2000,"922 Walnut St Kansas City, MO64106-1820",Kansas City,New York,MO,64106-1820,United States,"Financial Services, Banks Financial Services, Credit Cards and Related Services Financial Services, Lending and Mortgage",2484 - 25,2484 - 1000000,VP of Accounting,
Zackery,Frechette,Vice President of Accounting,dianne.bascom@uni.edu,Foss & Came Agency,www.unitedinsurance.net,1.603.332.3700,7 Hanson St,Rochester,New York,NH,03867-2721,United States,"Financial Services, Insurance and Risk Management",2485 - 25,2485 - 1000000,VP of Accounting,
Andrew,Wagner,Vice President of Accounting,dianne.bascom@uni.edu,Conner Strong & Buckelew,www.connerstrong.com,1.877.861.3220,401 Route 73 N,Marlton,New York,NJ,08053-3424,United States,"Financial Services, Insurance and Risk Management",2486 - 25,2486 - 1000000,VP of Accounting,
Thomas,Lockett,Vice President of Accounting,dianne.bascom@uni.edu,"Lockton Companies, LLC",www.lockton.com,1.816.960.9000,"444 W 47th St Kansas City, MO64112-1906",Kansas City,New York,MO,64112-1906,United States,"Financial Services, Insurance and Risk Management",2487 - 25,2487 - 1000000,VP of Accounting,
Cheryle,Arevalo,Vice President of Accounting,dianne.bascom@uni.edu,CIT Group Inc.,www.cit.com,1.212.461.5200,11 W 42nd St,New York,New York,NY,10036-8002,United States,"Financial Services, Lending and Mortgage Financial Services, Trust, Fiduciary, and Custody Activities Financial Services, Financial Services Other",2488 - 25,2488 - 1000000,VP of Accounting,
Daniel,Menniti,Vice President of Accounting,dianne.bascom@uni.edu,Breen Energy Solutions,www.breenes.com,1.412.431.4499 x 00,1216 Grandview Ave,Pittsburgh,New York,PA,15211-1239,United States,"Business Services, Business Services Other",2489 - 25,2489 - 1000000,VP of Accounting,
Kimberly,Hastings,Vice President of Accounting,dianne.bascom@uni.edu,"Live Nation Entertainment, Inc.",www.livenation.com,1.310.867.7000,9348 Civic Center Dr,Beverly Hills,New York,CA,90210-3624,United States,"Media & Entertainment, Performing Arts Media & Entertainment, Media & Entertainment Other",2490 - 25,2490 - 1000000,VP of Accounting,
Desi,Rodriguez,Vice President of Accounting,dianne.bascom@uni.edu,"CompuCom Systems, Inc.",www.compucom.com,1.972.856.3600,7171 Forest Ln,Dallas,New York,TX,75230-2306,United States,"Computers & Electronics, IT and Network Services and Support Software & Internet, Software & Internet Other Software & Internet, Data Analytics, Management and Storage",2491 - 25,2491 - 1000000,VP of Accounting,
James,Kowalski,Vice President of Accounting,dianne.bascom@uni.edu,U.S. Bancorp,www.usbank.com,1.651.466.3000,"800 Nicollet Mall Minneapolis, MN55402-7014",Minneapolis,New York,MN,55402-7014,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Credit Cards and Related Services",2492 - 25,2492 - 1000000,VP of Accounting,
Janice,Entsminger,Vice President of Accounting,dianne.bascom@uni.edu,U.S. Bancorp,www.usbank.com,1.651.466.3000,"800 Nicollet Mall Minneapolis, MN55402-7014",Minneapolis,New York,MN,55402-7014,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Credit Cards and Related Services",2493 - 25,2493 - 1000000,VP of Accounting,
John,Sullivan,Vice President of Accounting,dianne.bascom@uni.edu,City Real Estate Advisors,cityrealestateadvisors.com,1.317.808.7241,30 S Meridian St,Indianapolis,New York,IN,46204-3564,United States,"Real Estate & Construction, Real Estate Agents and Appraisers",2494 - 25,2494 - 1000000,VP of Accounting,
Kim,Connell,Vice President of Accounting,dianne.bascom@uni.edu,J.D. Kutter Insurance Associates,www.jdkutter.com,1.314.657.2959,"800 Market St Saint Louis, MO63101-2506",Saint Louis,New York,MO,63101-2506,United States,"Financial Services, Insurance and Risk Management",2495 - 25,2495 - 1000000,VP of Accounting,
Michael,Eidem,Vice President of Accounting,dianne.bascom@uni.edu,Raptor Trading,www.raptortrading.com,1.410.772.7867,"5950 Symphony Woods Rd Columbia, MD21044-3591",Columbia,New York,MD,21044-3591,United States,"Financial Services, Securities Agents and Brokers",2496 - 25,2496 - 1000000,VP of Accounting,
Melissa,Beckman,Vice President of Accounting,dianne.bascom@uni.edu,Hays Companies,www.hayscompanies.com,1.612.333.3323,"80 S 8th St Minneapolis, MN55402-2105",Minneapolis,New York,MN,55402-2105,United States,"Financial Services, Insurance and Risk Management",2497 - 25,2497 - 1000000,VP of Accounting,
Michael,Jacobs,Vice President of Accounting,dianne.bascom@uni.edu,PIMCO Pacific Investment Management Company LLC,www.pimco.com,1.949.720.6000,650 Newport Center Dr,Newport Beach,New York,CA,92660-6424,United States,"Financial Services, Securities Agents and Brokers",2498 - 25,2498 - 1000000,VP of Accounting,
Sean,Halayko,Vice President of Accounting,dianne.bascom@uni.edu,Pershing LLC,www.pershing.com,1.201.413.2000,1 Pershing Plz,Jersey City,New York,NJ,07399-0001,United States,"Financial Services, Securities Agents and Brokers Software & Internet, Software Financial Services, Financial Services Other",2499 - 25,2499 - 1000000,VP of Accounting,
David,Thomas,Vice President of Accounting,dianne.bascom@uni.edu,Brothers & Co,www.broco.com,1.918.743.8822,"4860 S Lewis Ave Tulsa, OK74105-5171",Tulsa,New York,OK,74105-5171,United States,"Business Services, Advertising, Marketing and PR",2500 - 25,2500 - 1000000,VP of Accounting,
Jack,Borgmeyer,Vice President of Accounting,dianne.bascom@uni.edu,Borgmeyer Marketing Group,www.bmg7677.com,1.866.731.7677,"340 N Main St Saint Charles, MO63301-2183",Saint Charles,New York,MO,63301-2183,United States,"Media & Entertainment, Media & Entertainment Other",2501 - 25,2501 - 1000000,VP of Accounting,
Summer,Cavalier,Vice President of Accounting,dianne.bascom@uni.edu,Pershing LLC,www.pershing.com,1.201.413.2000,1 Pershing Plz,Jersey City,New York,NJ,07399-0001,United States,"Financial Services, Securities Agents and Brokers Software & Internet, Software Financial Services, Financial Services Other",2502 - 25,2502 - 1000000,VP of Accounting,
Mike,Case,Vice President of Accounting,dianne.bascom@uni.edu,Brierley & Partners,www.brierley.com,1.214.760.8700,"5800 Tennyson Pkwy Plano, TX75024-3821",Plano,New York,TX,75024-3821,United States,"Business Services, Advertising, Marketing and PR Business Services, Business Services Other",2503 - 25,2503 - 1000000,VP of Accounting,
Andrea,Morris,Vice President of Accounting,dianne.bascom@uni.edu,Credit Suisse Group,www.credit-suisse.com,1.212.325.2000,11 Madison Ave,New York,New York,NY,10010-3602,United States,"Financial Services, Investment Banking and Venture Capital Financial Services, Lending and Mortgage Financial Services, Banks",2504 - 25,2504 - 1000000,VP of Accounting,
Aaron,Morris,Vice President of Accounting,dianne.bascom@uni.edu,Phillips Edison & Company,www.phillipsedison.com,1.513.554.1110,11501 Northlake Dr,Cincinnati,New York,OH,45249-1669,United States,"Real Estate & Construction, Property Leasing and Management",2505 - 25,2505 - 1000000,VP of Accounting,
Alan,Ray,Vice President of Accounting,dianne.bascom@uni.edu,Dudley Webb & Companies Inc,www.thewebbcompanies.com,1.859.253.0000,"250 W Main St Lexington, KY40507-1722",Lexington,New York,KY,40507-1722,United States,"Real Estate & Construction, Property Leasing and Management",2506 - 25,2506 - 1000000,VP of Accounting,
Caroline,Bonin,Vice President of Accounting,dianne.bascom@uni.edu,"Taylors International Services, Inc",www.taylors-international.com,1.337.234.5558,2301 S College Rd,Lafayette,New York,LA,70508-3366,United States,"Business Services, Business Services Other",2507 - 25,2507 - 1000000,VP of Accounting,
Cecilia,Camarillo,Vice President of Accounting,dianne.bascom@uni.edu,Parsley Energy,www.parsleyenergy.com,1.737.704.2300,Po Box 11090,Midland,New York,TX,79702-8090,United States,"Energy & Utilities, Energy & Utilities Other",2508 - 25,2508 - 1000000,VP of Accounting,
Cheryl,Christy,Vice President of Accounting,dianne.bascom@uni.edu,Trammell Crow Residential,tcresidential.com,1.214.863.4101,"2100 Mckinney Ave Dallas, TX75201-6910",Dallas,New York,TX,75201-6910,United States,"Real Estate & Construction, Property Leasing and Management",2509 - 25,2509 - 1000000,VP of Accounting,
Courtney,Poole,Vice President of Accounting,dianne.bascom@uni.edu,Brazos Valley Schools Credit Union,www.bvscu.org,1.281.391.2149,438 Fm 1463 Rd,Katy,New York,TX,77494-5439,United States,"Financial Services, Credit Unions",2510 - 25,2510 - 1000000,VP of Accounting,
Dana,Dudley,Vice President of Accounting,dianne.bascom@uni.edu,Mc Kenzie Tank Lines Inc,www.mckenzietank.com,1.850.925.6309,PO BOX 155,Saint Marks,New York,FL,32355-0155,United States,"Transportation & Storage, Freight Hauling (Rail and Truck) Business Services, Business Services Other",2511 - 25,2511 - 1000000,VP of Accounting,
David,Macosko,Vice President of Accounting,dianne.bascom@uni.edu,Bill Barrett Corporation,www.billbarrettcorp.com,1.303.293.9100,"1099 18th St Denver, CO80202-1939",Denver,New York,CO,80202-1939,United States,"Energy & Utilities, Energy & Utilities Other",2512 - 25,2512 - 1000000,VP of Accounting,
Dana,Yocham,Vice President of Accounting,dianne.bascom@uni.edu,Sheehan Pipeline Construction Co,www.sheehanpipeline.com,1.918.747.3471,"2431 E 61st St Tulsa, OK74136-1234",Tulsa,New York,OK,74136-1234,United States,"Real Estate & Construction, Construction and Remodeling Energy & Utilities, Energy & Utilities Other",2513 - 25,2513 - 1000000,VP of Accounting,
Emily,Cheng,Vice President of Accounting,dianne.bascom@uni.edu,Biltmore Hotel & Suites,www.hotelbiltmore.com,1.408.988.8411,2151 Laurelwood Rd,Santa Clara,New York,CA,95054-2754,United States,"Travel, Recreation, and Leisure, Hotels, Motels and Lodging",2514 - 25,2514 - 1000000,VP of Accounting,
Erik,Fares,Vice President of Accounting,dianne.bascom@uni.edu,Chesapeake Energy Corporation,www.chk.com,1.405.935.8000,6100 N Western Ave,Oklahoma City,New York,OK,73118-1044,United States,"Energy & Utilities, Gas and Electric Utilities Energy & Utilities, Gasoline and Oil Refineries Agriculture & Mining, Mining and Quarrying",2515 - 25,2515 - 1000000,VP of Accounting,
James,McLeod,Vice President of Accounting,dianne.bascom@uni.edu,"Kairos Development International, Inc.",www.kairosdevelopment.com,1.248.332.8811,31 Oakland Ave,Pontiac,New York,MI,48342-2019,United States,"Business Services, Business Services Other",2516 - 25,2516 - 1000000,VP of Accounting,
Jeanie,Pearson,Vice President of Accounting,dianne.bascom@uni.edu,Billings Army Navy Surplus,www.go-armynavy.com,1.406.259.8528,15 N 29th St,Billings,New York,MT,59101-2139,United States,"Retail, Retail Other",2517 - 25,2517 - 1000000,VP of Accounting,
Jack,Hoy,Vice President of Accounting,dianne.bascom@uni.edu,"Pritchard, Bieler, Gruver & Willison, P.C.",www.pbgw-cpa.com,1.215.997.6700,590 Bethlehem Pike,Colmar,New York,PA,18915-9610,United States,"Business Services, Accounting and Tax Preparation",2518 - 25,2518 - 1000000,VP of Accounting,
John,Stoneham,Vice President of Accounting,dianne.bascom@uni.edu,MoneyGram International,www.moneygram.com,1.800.328.5678,"2828 N Harwood St Dallas, TX75201-1518",Dallas,New York,TX,75201-1518,United States,"Financial Services, Credit Cards and Related Services Financial Services, Financial Services Other",2519 - 25,2519 - 1000000,VP of Accounting,
Linda,Talford,Vice President of Accounting,dianne.bascom@uni.edu,Westconsin Credit Union,www.westconsincu.org,1.715.235.3403,444 Broadway St S,Menomonie,New York,WI,54751-1821,United States,"Financial Services, Credit Unions",2520 - 25,2520 - 1000000,VP of Accounting,
